time,RegionName,value
2008-11-01,75019,270300.0
2008-11-01,76040,140700.0
2008-11-01,43221,222300.0
2008-11-01,77840,139000.0
2008-11-01,78748,186500.0
2008-11-01,78626,157800.0
2008-11-01,37129,151700.0
2008-11-01,43214,198900.0
2008-11-01,80910,132800.0
2008-11-01,70663,104000.0
2008-11-01,78728,178400.0
2008-11-01,75287,228100.0
2008-11-01,58078,165100.0
2008-11-01,76108,107200.0
2008-12-01,99301,129800.0
2008-12-01,76051,215000.0
2008-12-01,78210,72300.0
2008-12-01,76039,147100.0
2008-12-01,75028,220200.0
2008-12-01,15217,207300.0
2008-12-01,75035,237000.0
2008-12-01,2453,384100.0
2008-12-01,78602,123600.0
2008-12-01,76116,121200.0
2008-12-01,76021,166900.0
2008-12-01,75019,271300.0
2008-12-01,76040,140700.0
2008-12-01,43221,221800.0
2008-12-01,77840,139200.0
2008-12-01,78748,186500.0
2008-12-01,78626,157400.0
2008-12-01,37129,151500.0
2008-12-01,43214,199000.0
2008-12-01,80910,132600.0
2008-12-01,70663,104300.0
2008-12-01,78728,178400.0
2008-12-01,75287,229000.0
2008-12-01,58078,165200.0
2008-12-01,76108,107100.0
2009-01-01,99301,129800.0
2009-01-01,76051,215700.0
2009-01-01,78210,72200.0
2009-01-01,76039,147300.0
2009-01-01,75028,220700.0
2009-01-01,15217,208400.0
2009-01-01,75035,237400.0
2009-01-01,2453,384700.0
2009-01-01,78602,123000.0
2009-01-01,76116,121500.0
2009-01-01,76021,167300.0
2009-01-01,75019,272200.0
2009-01-01,76040,140900.0
2009-01-01,43221,221500.0
2009-01-01,77840,139500.0
2009-01-01,78748,186600.0
2009-01-01,78626,156900.0
2009-01-01,37129,151400.0
2009-01-01,43214,199100.0
2009-01-01,80910,132500.0
2009-01-01,70663,104500.0
2009-01-01,78728,178300.0
2009-01-01,75287,230000.0
2009-01-01,58078,165400.0
2009-01-01,76108,107300.0
2009-02-01,99301,130000.0
2009-02-01,76051,216400.0
2009-02-01,78210,72100.0
2009-02-01,76039,147600.0
2009-02-01,75028,221400.0
2009-02-01,15217,209600.0
2009-02-01,75035,237700.0
2009-02-01,2453,385400.0
2009-02-01,78602,122400.0
2009-02-01,76116,121500.0
2009-02-01,76021,167700.0
2009-02-01,75019,273100.0
2009-02-01,76040,141100.0
2009-02-01,43221,221300.0
2009-02-01,77840,139700.0
2009-02-01,78748,186800.0
2009-02-01,78626,156500.0
2009-02-01,37129,151200.0
2009-02-01,43214,199400.0
2009-02-01,80910,132400.0
2009-02-01,70663,104800.0
2009-02-01,78728,178300.0
2009-02-01,75287,230800.0
2009-02-01,58078,165700.0
2009-02-01,76108,107300.0
2009-03-01,99301,130000.0
2009-03-01,76051,217100.0
2009-03-01,78210,71900.0
2009-03-01,76039,147700.0
2009-03-01,75028,222100.0
2009-03-01,15217,210800.0
2009-03-01,75035,237800.0
2009-03-01,2453,384800.0
2009-03-01,78602,121700.0
2009-03-01,76116,121500.0
2009-03-01,76021,167900.0
2009-03-01,75019,274000.0
2009-03-01,76040,141300.0
2009-03-01,43221,221100.0
2009-03-01,77840,140000.0
2009-03-01,78748,186700.0
2009-03-01,78626,156100.0
2009-03-01,37129,151100.0
2009-03-01,43214,199600.0
2009-03-01,80910,132100.0
2009-03-01,70663,105100.0
2009-03-01,78728,178300.0
2009-03-01,75287,231400.0
2009-03-01,58078,166100.0
2009-03-01,76108,107000.0
2009-04-01,99301,129500.0
2009-04-01,76051,217400.0
2009-04-01,78210,71600.0
2009-04-01,76039,147500.0
2009-04-01,75028,222500.0
2009-04-01,15217,211600.0
2009-04-01,75035,237600.0
2009-04-01,2453,382700.0
2009-04-01,78602,121000.0
2009-04-01,76116,121400.0
2009-04-01,76021,167900.0
2009-04-01,75019,275000.0
2009-04-01,76040,141200.0
2009-04-01,43221,220600.0
2009-04-01,77840,140300.0
2009-04-01,78748,186500.0
2009-04-01,78626,155900.0
2009-04-01,37129,150900.0
2009-04-01,43214,199600.0
2009-04-01,80910,131700.0
2009-04-01,70663,105500.0
2009-04-01,78728,178100.0
2009-04-01,75287,231800.0
2009-04-01,58078,166300.0
2009-04-01,76108,106600.0
2009-05-01,99301,128800.0
2009-05-01,76051,217300.0
2009-05-01,78210,71300.0
2009-05-01,76039,147300.0
2009-05-01,75028,223000.0
2009-05-01,15217,212400.0
2009-05-01,75035,237500.0
2009-05-01,2453,380000.0
2009-05-01,78602,120200.0
2009-05-01,76116,121400.0
2009-05-01,76021,167800.0
2009-05-01,75019,275400.0
2009-05-01,76040,141000.0
2009-05-01,43221,219800.0
2009-05-01,77840,140500.0
2009-05-01,78748,186200.0
2009-05-01,78626,155800.0
2009-05-01,37129,150400.0
2009-05-01,43214,199300.0
2009-05-01,80910,131000.0
2009-05-01,70663,106100.0
2009-05-01,78728,177800.0
2009-05-01,75287,232400.0
2009-05-01,58078,166400.0
2009-05-01,76108,106100.0
2009-06-01,99301,128900.0
2009-06-01,76051,217500.0
2009-06-01,78210,71100.0
2009-06-01,76039,147200.0
2009-06-01,75028,223100.0
2009-06-01,15217,213000.0
2009-06-01,75035,237500.0
2009-06-01,2453,377500.0
2009-06-01,78602,119800.0
2009-06-01,76116,121500.0
2009-06-01,76021,167600.0
2009-06-01,75019,275400.0
2009-06-01,76040,140900.0
2009-06-01,43221,219000.0
2009-06-01,77840,140900.0
2009-06-01,78748,186100.0
2009-06-01,78626,155200.0
2009-06-01,37129,149700.0
2009-06-01,43214,199000.0
2009-06-01,80910,130400.0
2009-06-01,70663,106500.0
2009-06-01,78728,177700.0
2009-06-01,75287,233000.0
2009-06-01,58078,166600.0
2009-06-01,76108,105900.0
2009-07-01,99301,129600.0
2009-07-01,76051,218800.0
2009-07-01,78210,70700.0
2009-07-01,76039,147900.0
2009-07-01,75028,222600.0
2009-07-01,15217,212900.0
2009-07-01,75035,237300.0
2009-07-01,2453,376300.0
2009-07-01,78602,120200.0
2009-07-01,76116,122100.0
2009-07-01,76021,167800.0
2009-07-01,75019,275400.0
2009-07-01,76040,141300.0
2009-07-01,43221,219100.0
2009-07-01,77840,141600.0
2009-07-01,78748,186000.0
2009-07-01,78626,154100.0
2009-07-01,37129,149200.0
2009-07-01,43214,199100.0
2009-07-01,80910,130300.0
2009-07-01,70663,106300.0
2009-07-01,78728,177800.0
2009-07-01,75287,233700.0
2009-07-01,58078,167100.0
2009-07-01,76108,106200.0
2009-08-01,99301,131000.0
2009-08-01,76051,221000.0
2009-08-01,78210,70300.0
2009-08-01,76039,148900.0
2009-08-01,75028,222200.0
2009-08-01,15217,212100.0
2009-08-01,75035,237100.0
2009-08-01,2453,376500.0
2009-08-01,78602,121000.0
2009-08-01,76116,122900.0
2009-08-01,76021,168400.0
2009-08-01,75019,275200.0
2009-08-01,76040,141800.0
2009-08-01,43221,219600.0
2009-08-01,77840,142500.0
2009-08-01,78748,186000.0
2009-08-01,78626,152700.0
2009-08-01,37129,149000.0
2009-08-01,43214,199700.0
2009-08-01,80910,130600.0
2009-08-01,70663,105700.0
2009-08-01,78728,177900.0
2009-08-01,75287,234300.0
2009-08-01,58078,168100.0
2009-08-01,76108,107100.0
2009-09-01,99301,132600.0
2009-09-01,76051,222800.0
2009-09-01,78210,70100.0
2009-09-01,76039,149800.0
2009-09-01,75028,222400.0
2009-09-01,15217,211300.0
2009-09-01,75035,237300.0
2009-09-01,2453,377300.0
2009-09-01,78602,121800.0
2009-09-01,76116,123600.0
2009-09-01,76021,169200.0
2009-09-01,75019,274600.0
2009-09-01,76040,142400.0
2009-09-01,43221,220000.0
